Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-01-30,3294.019775390625,3317.8113247896295,3247.875912975965,3280.9249493217903,1953798
2023-01-31,3222.11767578125,3308.7456531781277,3214.7308448245594,3308.7456531781277,2820375
2023-02-01,3269.748046875,3279.9648662715263,3218.5674543261102,3226.242130819287,2205161
2023-02-02,3319.681884765625,3327.9322573243953,3281.0208815994665,3287.640197708476,1813847
2023-02-03,3340.691162109375,3361.508677568011,3312.486582335118,3361.508677568011,1804469
2023-02-06,3319.250244140625,3331.913416084789,3297.0897517914855,3331.913416084789,1138714
2023-02-07,3331.337646484375,3350.9559935923235,3320.6409244141632,3327.835934420445,1455647
2023-02-08,3376.953857421875,3395.948495347135,3336.6137901921215,3336.6137901921215,1986946
2023-02-09,3396.8603515625,3403.335860759634,3362.755956281745,3372.0614559891865,1655427
2023-02-10,3393.694091796875,3398.298944625386,3365.489514605087,3376.8577230680467,1187821
2023-02-13,3340.786865234375,3404.678646107554,3332.152853452192,3404.678646107554,1087939
2023-02-14,3357.767822265625,3381.51135853098,3352.875121107725,3362.468469093727,1579818
2023-02-15,3377.481689453125,3382.6142238919347,3319.4419388730166,3345.200169798972,1429449
2023-02-16,3413.36083984375,3429.621515993147,3383.5734508833093,3383.7652709787526,1618931
2023-02-17,3358.774658203125,3394.989543850349,3348.078169769837,3382.758026181419,1061369
2023-02-20,3345.488037109375,3378.776905261915,3333.7361867148666,3359.590210740269,1296082
2023-02-21,3310.664306640625,3366.2096963964727,3304.6684643002877,3351.9157019421455,1139541
2023-02-22,3263.22509765625,3306.8268142919965,3256.941408332268,3276.0800893531477,1218430
2023-02-23,3274.976806640625,3312.0069850914083,3269.4126186044764,3281.8839695557263,1441570
2023-02-24,3262.169921875,3294.3076371632815,3244.7580892172823,3283.323300720701,977592
2023-02-27,3196.359619140625,3252.144841842955,3181.154069484141,3252.144841842955,1128022
2023-02-28,3178.132080078125,3254.063328507291,3165.7085082433923,3193.145574568549,4116217
2023-03-01,3248.019287109375,3251.1851383060953,3180.194373999618,3187.86905122194,1669307
2023-03-02,3186.3818359375,3232.8615501092136,3183.0721784353436,3224.323565919587,1556538
2023-03-03,3206.240234375,3221.4457823932394,3195.639773771422,3217.6084437602517,1043190
2023-03-06,3234.732421875,3266.486256187127,3222.404878743167,3225.1868553613212,1334132
2023-03-08,3252.5283203125,3257.9006883953557,3195.400125469975,3227.201977550641,1844590
2023-03-09,3201.156005859375,3247.347876803023,3195.3999978059574,3247.347876803023,1648500
2023-03-10,3195.544189453125,3201.5400318980614,3156.2114630143446,3178.180136047552,1024404
2023-03-13,3148.488525390625,3232.7661739045475,3138.943191805736,3197.462609501381,1901233
2023-03-14,3084.21337890625,3170.0258302155607,3078.8890239056236,3146.618154700995,2670334
2023-03-15,3068.815673828125,3127.766978430258,3062.1963580924657,3117.837770614196,1780522
2023-03-16,3055.481201171875,3088.866097559379,3043.009849330357,3077.545900583791,1901060
2023-03-17,3050.01318359375,3090.401038240357,3016.1486182322737,3022.3842944468124,6739966
2023-03-20,3015.476806640625,3040.7551354353477,2969.188907407253,3040.7551354353477,2289468
2023-03-21,2979.789794921875,3028.3800068830346,2971.4914087114084,3015.477001189692,1815297
2023-03-22,3003.485107421875,3015.6686111956114,2979.7895873178227,3002.7656064012303,1123939
2023-03-23,2997.5849609375,3018.402710493815,2974.896789843487,2988.2314479736256,1372218
2023-03-24,2993.60400390625,3041.0910727071987,2979.6936504191035,3020.8490163615606,1329577
2023-03-27,2995.330810546875,3024.5425056109025,2979.6936079382963,3007.514314515956,1524217
2023-03-28,2989.19091796875,3021.472671366461,2983.674743406983,2999.839626894756,1303530
2023-03-29,3011.255615234375,3021.90432415691,2977.8709548327965,3001.7582953291976,1740616
